BVW (V/V),CARB_FLAG (UNITLESS),COAL_FLAG (UNITLESS),KLOGH (MD),PHIF (V/V),RHOFL (G/CM3),RHOMA (G/CM3),RW (OHMM),SAND_FLAG (UNITLESS),SW (V/V),TEMP (DEGC),VSH (V/V),LITHOTYPE
0.06424,0,0,121.2722,0.170985,0.8,2.66,0.0210739,1,0.3763,116.3481,0.14268,F-TIDAL BAR
0.050139,1,0,0.1,0.11601,0.8,2.71,0.0210734,0,0.4359,116.3517,0.118126,F-TIDAL BAR
0.04506,1,0,0.1,0.11675,0.8,2.71,0.0210728,0,0.3905,116.3552,0.130728,F-TIDAL BAR
0.042816,1,0,0.1,0.112582,0.8,2.71,0.0210723,0,0.3831,116.3588,0.110466,F-TIDAL BAR
0.042323,1,0,0.1,0.104743,0.8,2.71,0.0210717,0,0.4099,116.3624,0.12668,F-TIDAL BAR
0.042507,1,0,0.1,0.097411,0.8,2.71,0.0210712,0,0.4409,116.3659,0.105437,F-TIDAL BAR
0.0483,1,0,0.1,0.136495,0.8,2.71,0.0210707,1,0.356,116.3695,0.128903,F-TIDAL BAR
0.05016,0,0,43.9027,0.138075,0.8,2.66,0.0210701,1,0.3684,116.373,0.162456,F-TIDAL BAR
0.052737,0,0,84.1097,0.164948,0.8,2.66,0.0210696,1,0.3215,116.3766,0.154971,F-TIDAL BAR
0.049005,0,0,79.3844,0.145775,0.8,2.66,0.021069,1,0.3384,116.3801,0.140718,F-TIDAL BAR
0.043742,0,0,28.7601,0.12053,0.8,2.66,0.0210685,1,0.3704,116.3837,0.167272,F-TIDAL BAR
0.042444,0,0,39.5092,0.127392,0.8,2.66,0.0210679,1,0.3385,116.3873,0.158049,F-TIDAL BAR
0.044265,0,0,40.3668,0.149376,0.8,2.66,0.0210674,1,0.3006,116.3908,0.176553,F-TIDAL BAR
0.045769,0,0,77.6583,0.15214,0.8,2.66,0.0210669,1,0.3029,116.3944,0.147437,F-TIDAL BAR
0.046825,0,0,63.4279,0.151615,0.8,2.66,0.0210663,1,0.3117,116.3979,0.156738,F-TIDAL BAR
0.044142,0,0,79.3492,0.121088,0.8,2.66,0.0210658,1,0.3672,116.4015,0.118796,F-TIDAL BAR
0.042386,0,0,48.5012,0.109186,0.8,2.66,0.0210652,1,0.3938,116.4051,0.131971,F-TIDAL BAR
0.043904,0,0,71.1945,0.126812,0.8,2.66,0.0210647,1,0.3492,116.4086,0.129117,F-TIDAL BAR
0.045299,0,0,104.5077,0.134379,0.8,2.66,0.0210641,1,0.3383,116.4122,0.11732,F-TIDAL BAR
0.046321,0,0,45.735,0.132267,0.8,2.66,0.0210636,1,0.3551,116.4157,0.15532,F-TIDAL BAR
0.047859,0,0,50.6636,0.140291,0.8,2.66,0.021063,1,0.3453,116.4193,0.157515,F-TIDAL BAR
0.046017,0,0,42.7597,0.123722,0.8,2.66,0.0210625,1,0.3776,116.4228,0.150971,F-TIDAL BAR
0.046757,0,0,55.9256,0.144541,0.8,2.66,0.021062,1,0.327,116.4264,0.156524,F-TIDAL BAR
0.045823,0,0,87.2229,0.152656,0.8,2.66,0.0210614,1,0.3018,116.43,0.142291,F-TIDAL BAR
0.044503,0,0,118.7372,0.155366,0.8,2.66,0.0210609,1,0.287,116.4335,0.129816,F-TIDAL BAR
0.043084,0,0,118.1406,0.155376,0.8,2.66,0.0210603,1,0.2778,116.4371,0.130068,F-TIDAL BAR
0.041985,0,0,134.6203,0.155912,0.8,2.66,0.0210598,1,0.2694,116.4406,0.124243,F-TIDAL BAR
0.043587,0,0,364.2037,0.18269,0.8,2.66,0.0210592,1,0.2363,116.4442,0.100019,F-TIDAL BAR
0.044944,0,0,329.6408,0.19022,0.8,2.66,0.0210587,1,0.2343,116.4478,0.111524,F-TIDAL BAR
0.045633,0,0,301.8564,0.184948,0.8,2.66,0.0210582,1,0.2448,116.4513,0.111087,F-TIDAL BAR
0.045748,0,0,228.1965,0.181198,0.8,2.66,0.0210576,1,0.2512,116.4549,0.121252,F-TIDAL BAR
0.046137,0,0,253.782,0.190822,0.8,2.66,0.0210571,1,0.2404,116.4584,0.12468,F-TIDAL BAR
0.046193,0,0,214.1854,0.197822,0.8,2.66,0.0210565,1,0.2325,116.462,0.139087,F-TIDAL BAR
0.046557,0,0,388.599,0.207082,0.8,2.66,0.021056,1,0.2227,116.4656,0.118573,F-TIDAL BAR
0.044468,0,0,202.2616,0.175893,0.8,2.66,0.0210554,1,0.2518,116.4691,0.122359,F-TIDAL BAR
0.043904,0,0,313.1617,0.170987,0.8,2.66,0.0210549,1,0.2546,116.4727,0.096903,F-TIDAL BAR
0.043225,0,0,319.5467,0.172039,0.8,2.66,0.0210543,1,0.2491,116.4762,0.096864,F-TIDAL BAR
0.043561,0,0,595.8173,0.208898,0.8,2.66,0.0210538,1,0.2057,116.4798,0.099563,F-TIDAL BAR
0.04085,0,0,649.9133,0.218192,0.8,2.66,0.0210533,1,0.1846,116.4834,0.103631,F-TIDAL BAR
0.038677,0,0,967.8102,0.228701,0.8,2.66,0.0210527,1,0.1662,116.4869,0.093757,F-TIDAL BAR
0.03894,0,0,866.7284,0.22789,0.8,2.66,0.0210522,1,0.1681,116.4905,0.098359,F-TIDAL BAR
0.041764,0,0,991.6443,0.233484,0.8,2.66,0.0210516,1,0.1758,116.4941,0.096835,F-TIDAL BAR
0.042504,0,0,762.5085,0.222518,0.8,2.66,0.0210511,1,0.1881,116.4976,0.099767,F-TIDAL BAR
0.040492,0,0,828.0067,0.234572,0.8,2.66,0.0210505,1,0.17,116.5012,0.106505,F-TIDAL BAR
0.034244,0,0,1167.519,0.23385,0.8,2.66,0.02105,1,0.1438,116.5047,0.089282,F-TIDAL BAR
0.029264,0,0,1963.9139,0.239811,0.8,2.66,0.0210495,1,0.1193,116.5083,0.069485,F-TIDAL BAR
0.033788,0,0,2073.7856,0.234859,0.8,2.66,0.0210489,1,0.1405,116.5119,0.062456,F-TIDAL BAR
0.0445,0,0,1058.264,0.200205,0.8,2.66,0.0210484,1,0.218,116.5154,0.064117,F-TIDAL BAR
0.055052,0,0,598.2221,0.193574,0.8,2.66,0.0210478,1,0.2803,116.519,0.085748,F-TIDAL BAR
0.061227,0,0,802.4019,0.208543,0.8,2.66,0.0210473,1,0.2888,116.5226,0.084883,F-TIDAL BAR
0.056397,0,0,828.9581,0.179684,0.8,2.66,0.0210467,1,0.3082,116.5261,0.05766,F-TIDAL BAR
0.049439,0,0,648.3951,0.200054,0.8,2.66,0.0210462,1,0.2435,116.5297,0.087621,F-TIDAL BAR
0.037402,0,0,670.4146,0.181202,0.8,2.66,0.0210457,1,0.2031,116.5332,0.069252,F-TIDAL BAR
0.042491,0,0,199.6771,0.260881,0.8,2.66,0.0210353,1,0.1624,116.6009,0.198524,F-TIDAL BAR
0.043721,0,0,450.9527,0.266736,0.8,2.66,0.0210348,1,0.1624,116.6045,0.164417,F-TIDAL BAR
0.043425,0,0,730.0944,0.261512,0.8,2.66,0.0210343,1,0.1639,116.6081,0.136524,F-TIDAL BAR
0.042079,0,0,991.6882,0.263282,0.8,2.66,0.0210337,1,0.1573,116.6116,0.12332,F-TIDAL BAR
0.040214,0,0,1436.8618,0.261032,0.8,2.66,0.0210332,1,0.1512,116.6152,0.103427,F-TIDAL BAR
0.039211,0,0,914.7263,0.247428,0.8,2.66,0.0210326,1,0.156,116.6188,0.113126,F-TIDAL BAR
0.039991,0,0,982.7703,0.251629,0.8,2.66,0.0210321,1,0.1564,116.6223,0.113398,F-TIDAL BAR
0.041602,0,0,1016.9464,0.267662,0.8,2.66,0.0210315,1,0.153,116.6259,0.126,F-TIDAL BAR
0.043183,0,0,1153.3773,0.24754,0.8,2.66,0.021031,1,0.1714,116.6295,0.102039,F-TIDAL BAR
0.04623,0,0,702.3505,0.250376,0.8,2.66,0.0210305,1,0.1822,116.633,0.128495,F-TIDAL BAR
0.045827,0,0,923.9944,0.254824,0.8,2.66,0.0210299,1,0.1771,116.6366,0.119214,F-TIDAL BAR
0.04029,0,0,1004.7513,0.255932,0.8,2.66,0.0210294,1,0.1549,116.6402,0.116155,F-TIDAL BAR
0.032855,0,0,880.5078,0.268208,0.8,2.66,0.0210288,1,0.1207,116.6437,0.133437,F-TIDAL BAR
0.028078,0,0,843.5389,0.272914,0.8,2.66,0.0210283,1,0.1015,116.6473,0.139689,F-TIDAL BAR
0.029146,0,0,719.7703,0.262902,0.8,2.66,0.0210277,1,0.1094,116.6509,0.138447,F-TIDAL BAR
0.032453,0,0,561.9421,0.26458,0.8,2.66,0.0210272,1,0.1213,116.6544,0.151883,F-TIDAL BAR
0.034365,0,0,230.3254,0.258005,0.8,2.66,0.0210267,1,0.1327,116.658,0.189078,F-TIDAL BAR
0.037744,0,0,281.286,0.261014,0.8,2.66,0.0210261,1,0.1438,116.6616,0.182107,F-TIDAL BAR
0.044082,0,0,105.2402,0.253396,0.8,2.66,0.0210256,1,0.1744,116.6651,0.222777,F-TIDAL BAR
0.051476,0,0,168.4271,0.250003,0.8,2.66,0.021025,1,0.2056,116.6687,0.197068,F-TIDAL BAR
0.05389,0,0,86.5168,0.216766,0.8,2.66,0.0210245,1,0.2497,116.6722,0.19967,F-TIDAL BAR
0.044145,0,0,213.9106,0.166099,0.8,2.66,0.0210196,1,0.2646,116.7044,0.110951,F-TIDAL CHANNEL
0.048521,0,0,203.8423,0.196118,0.8,2.66,0.0210191,1,0.2465,116.7079,0.139961,F-TIDAL CHANNEL
0.05034,0,0,105.8087,0.179636,0.8,2.66,0.0210185,1,0.2811,116.7115,0.156951,F-TIDAL CHANNEL
0.052474,0,0,110.8545,0.171537,0.8,2.66,0.021018,1,0.3067,116.715,0.147505,F-TIDAL CHANNEL
0.05382,0,0,57.8764,0.183822,0.8,2.66,0.0210174,1,0.2955,116.7186,0.189786,F-TIDAL CHANNEL
0.048991,0,0,59.8421,0.157631,0.8,2.66,0.0210169,1,0.3138,116.7222,0.164893,F-TIDAL CHANNEL
0.04772,0,0,200.3104,0.182161,0.8,2.66,0.0210163,1,0.261,116.7258,0.128398,F-TIDAL CHANNEL
0.04521,0,0,148.7157,0.160302,0.8,2.66,0.0210158,1,0.2819,116.7293,0.12334,F-TIDAL CHANNEL
0.046743,0,0,295.9705,0.170925,0.8,2.66,0.0210153,1,0.2713,116.7329,0.099573,F-TIDAL CHANNEL
0.04845,0,0,229.9149,0.182053,0.8,2.66,0.0210147,1,0.2648,116.7365,0.12165,F-TIDAL CHANNEL
0.04502,0,0,109.3076,0.133496,0.8,2.66,0.0210142,1,0.3383,116.74,0.114369,F-TIDAL CHANNEL
0.044377,0,0,96.7639,0.13494,0.8,2.66,0.0210136,1,0.3395,116.7436,0.121534,F-TIDAL CHANNEL
0.040419,1,0,0.1,0.119522,0.8,2.71,0.0210131,0,0.3497,116.7472,0.12668,F-TIDAL CHANNEL
0.036718,1,0,0.1,0.114678,0.8,2.71,0.0210125,0,0.3313,116.7507,0.115981,F-TIDAL CHANNEL
0.035396,1,0,0.1,0.120396,0.8,2.71,0.021012,0,0.304,116.7543,0.101398,F-TIDAL CHANNEL
0.036067,1,0,0.1,0.121462,0.8,2.71,0.0210115,0,0.3093,116.7579,0.08801,F-TIDAL CHANNEL
0.039579,0,0,332.8044,0.148218,0.8,2.66,0.0210109,1,0.2731,116.7614,0.073728,F-TIDAL CHANNEL
0.040503,0,0,191.5656,0.1446,0.8,2.66,0.0210104,1,0.2782,116.765,0.097165,F-TIDAL CHANNEL
0.043406,0,0,284.1543,0.17352,0.8,2.66,0.0210098,1,0.2488,116.7686,0.103845,F-TIDAL CHANNEL
0.044472,0,0,279.1561,0.188306,0.8,2.66,0.0210093,1,0.2354,116.7721,0.117845,F-TIDAL CHANNEL
0.043762,0,0,371.9781,0.196102,0.8,2.66,0.0210088,1,0.2202,116.7757,0.110922,F-TIDAL CHANNEL
0.041048,0,0,298.3235,0.189607,0.8,2.66,0.0210082,1,0.2135,116.7793,0.115796,F-TIDAL CHANNEL
0.037628,0,0,649.4176,0.176864,0.8,2.66,0.0210077,1,0.2111,116.7829,0.066932,F-TIDAL CHANNEL
0.036099,0,0,628.0948,0.181496,0.8,2.66,0.0210071,1,0.1991,116.7864,0.07266,F-TIDAL CHANNEL
