WELL NAME,DEPTH (M),BVW (V/V),CARB_FLAG (UNITLESS),COAL_FLAG (UNITLESS),KLOGH (MD),PHIF (V/V),RHOFL (G/CM3),RHOMA (G/CM3),RW (OHMM),SAND_FLAG (UNITLESS),SW (V/V),TEMP (DEGC),VSH (V/V),LITHOTYPE
15/9-19 A,3666.5916,0.111705,0.0,0.0,0.0003,0.199843,0.8,2.66,0.0216428,0.0,0.5589999999999999,112.7249,0.5988,OTHER
15/9-19 A,3666.744,0.11223599999999999,0.0,0.0,0.0,0.218743,0.8,2.66,0.0216422,0.0,0.5131,112.7285,0.5995550000000001,OTHER
15/9-19 A,3666.8964,0.114825,0.0,0.0,0.0,0.24238,0.8,2.66,0.0216416,0.0,0.4737,112.7321,0.60031,OTHER
15/9-19 A,3667.0488,0.114419,0.0,0.0,0.0,0.226408,0.8,2.66,0.021641,0.0,0.5054,112.7358,0.601065,OTHER
15/9-19 A,3667.2012,0.11586700000000001,0.0,0.0,0.0,0.216169,0.8,2.66,0.021640400000000004,0.0,0.536,112.7394,0.60182,CLST.SLTY-X-X
15/9-19 A,3667.3536,0.11285799999999999,0.0,0.0,0.0,0.178107,0.8,2.66,0.0216399,0.0,0.6336,112.743,0.602575,OTHER
15/9-19 A,3667.506,0.118716,0.0,0.0,0.0,0.197236,0.8,2.66,0.0216393,0.0,0.6019,112.7467,0.60333,OTHER
15/9-19 A,3667.6584,0.12412100000000001,0.0,0.0,0.0,0.21819699999999997,0.8,2.66,0.0216387,0.0,0.5688,112.7503,0.604086,OTHER
15/9-19 A,3667.8108,0.12831700000000001,0.0,0.0,0.0,0.24344899999999997,0.8,2.66,0.021638099999999997,0.0,0.5271,112.7539,0.604841,OTHER
15/9-19 A,3667.9632,0.128881,0.0,0.0,0.0,0.259614,0.8,2.66,0.0216375,0.0,0.4964,112.7575,0.605596,CLST.SLTY-X-X
15/9-19 A,3668.1156,0.12730999999999998,0.0,0.0,0.0,0.26931700000000003,0.8,2.66,0.021636900000000004,0.0,0.4727,112.7612,0.606351,CLST.SLTY-X-X
15/9-19 A,3668.268,0.11876199999999999,0.0,0.0,0.0,0.222229,0.8,2.66,0.0216363,0.0,0.5344,112.7648,0.607106,OTHER
15/9-19 A,3668.4204,0.117522,0.0,0.0,0.0,0.219901,0.8,2.66,0.0216358,0.0,0.5344,112.7684,0.607861,OTHER
15/9-19 A,3668.5728,0.118934,0.0,0.0,0.0,0.233816,0.8,2.66,0.0216352,0.0,0.5087,112.7721,0.6086159999999999,OTHER
15/9-19 A,3668.7252,0.11833199999999999,0.0,0.0,0.0,0.23654899999999998,0.8,2.66,0.021634599999999997,0.0,0.5002,112.7757,0.609371,OTHER
