ID_Choke,Orifice_ID_gaslift,Qgaslift,CHP,WHP,WHT,TAmbient,FBHP,FBHT,FLP,FLT,DP_Choke,DT_Choke,Qliquid,Qgas,Qoil,Qwater,PReservoir,PI_Liquid,PI_oil
2.280,0.341,0.340,4447.07,414.31,123.77,80.250,4536.89,241.19,413.79,123.43,0.52,0.34,1480.21,0.186,327.87,1152.34,4539.43,582.23,128.96
1.730,0.339,1.310,3760.25,411.15,157.75,80.740,3781.06,237.73,388.15,157.47,23.00,0.27,5067.41,2.196,3871.50,1195.91,3790.08,561.92,429.31
2.050,0.291,1.510,3927.29,453.75,155.85,80.430,3970.94,238.20,449.69,155.61,4.06,0.24,2893.18,0.158,326.06,2567.12,3976.40,529.62,59.69
1.070,0.285,0.650,3875.00,500.74,130.31,79.270,3909.54,238.81,482.36,130.09,18.38,0.22,2115.23,0.531,948.26,1166.97,3913.61,519.38,232.84
1.040,0.322,0.030,3689.26,504.57,98.76,79.640,3901.12,240.93,499.84,98.45,4.73,0.31,1240.98,0.621,1176.45,64.53,3904.39,379.57,359.84
2.370,0.310,2.020,3697.19,452.42,162.04,80.520,3735.28,242.10,444.30,161.75,8.12,0.29,5016.14,1.794,3577.51,1438.63,3748.71,373.58,266.44
1.740,0.337,0.790,3734.73,512.84,144.70,79.440,3840.48,239.48,502.63,144.47,10.21,0.23,4129.10,1.867,3451.93,677.17,3852.84,334.20,279.39
1.140,0.324,0.750,3791.59,508.54,131.89,80.030,3790.55,241.36,494.86,131.68,13.68,0.20,1993.80,0.459,747.28,1246.52,3796.60,329.62,123.54
2.170,0.336,0.810,3475.82,453.67,137.37,80.620,3748.67,241.37,451.33,137.13,2.34,0.24,2750.04,0.726,1701.17,1048.87,3757.80,301.10,186.26
2.350,0.325,0.590,3619.50,474.88,131.05,80.410,3690.33,240.57,473.41,130.83,1.47,0.22,2397.22,0.844,1475.01,922.21,3699.23,269.44,165.79
2.200,0.296,1.190,3879.53,447.41,157.66,79.450,3938.97,240.30,442.03,157.42,5.38,0.24,3988.00,1.169,2087.72,1900.28,3955.29,244.35,127.92
1.270,0.283,0.860,4172.50,500.06,150.92,80.690,4156.47,239.83,479.10,150.72,20.96,0.20,3158.57,0.775,1285.85,1872.71,4169.96,234.09,95.30
2.220,0.297,2.650,3844.82,399.56,171.44,80.580,3778.28,239.84,390.98,171.28,8.58,0.16,3958.59,0.316,529.26,3429.33,3795.35,231.86,31.00
1.900,0.319,2.390,3760.42,507.11,161.58,79.780,3760.04,240.11,490.80,161.28,16.31,0.29,5047.80,1.756,3542.55,1505.25,3781.87,231.19,162.25
1.260,0.310,1.650,4026.84,491.35,160.97,79.730,4066.43,238.51,451.50,160.75,39.85,0.22,3874.09,0.595,1405.52,2468.57,4083.20,231.01,83.81
1.280,0.298,1.930,3899.94,559.86,158.64,79.330,3842.76,239.45,507.36,158.35,52.50,0.29,4510.75,1.522,2864.32,1646.42,3862.30,230.82,146.57
2.150,0.290,0.640,4061.19,499.13,143.08,79.360,4121.52,237.81,496.52,142.77,2.61,0.31,2993.63,0.908,1551.60,1442.03,4134.89,223.89,116.04
2.290,0.341,2.270,3716.56,453.22,164.17,79.970,3771.73,238.58,447.02,163.91,6.20,0.26,3964.96,0.570,1267.20,2697.76,3789.54,222.68,71.17
1.750,0.286,0.520,3743.22,413.85,126.23,80.030,3930.44,238.36,411.62,126.02,2.23,0.21,1868.99,0.375,792.26,1076.72,3938.90,220.98,93.67
1.980,0.327,1.660,3921.92,487.27,162.81,80.310,4056.76,239.86,479.08,162.60,8.19,0.20,4233.89,0.835,1960.71,2273.18,4076.08,219.20,101.51
1.950,0.284,0.160,4628.59,448.95,95.79,80.550,4785.69,241.50,448.85,95.41,0.10,0.38,487.80,0.045,90.34,397.46,4787.92,219.08,40.57
2.160,0.305,1.230,4108.59,488.07,156.64,80.170,4132.82,238.14,484.25,156.41,3.82,0.23,3332.00,0.568,940.62,2391.38,4148.13,217.65,61.44
1.530,0.311,1.930,3928.85,492.09,162.54,80.360,3948.34,237.63,473.81,162.37,18.28,0.17,3631.85,0.435,874.19,2757.67,3966.23,202.98,48.86
1.310,0.332,2.810,3954.51,570.57,165.22,79.230,3849.29,240.88,498.61,165.04,71.96,0.18,5033.55,1.586,3119.79,1913.75,3875.25,193.90,120.18
1.340,0.312,0.420,4015.11,434.50,143.88,80.650,4065.19,238.48,416.04,143.59,18.46,0.29,3370.83,1.226,2153.62,1217.21,4083.39,185.22,118.34
