UWI,START_DATE,OIL,GAS,WATER
DS558,01-DEC-15,40581,32132,3802
CC649,01-FEB-15,38727,24419,0
CC310,01-JUL-16,26205,17664,8192
CC504,01-JUL-16,0,0,0
CC653,01-DEC-16,0,0,0
ON820,01-DEC-16,29290,49105,37057
AB517,01-OCT-16,20991,12560,414
YP785,01-MAR-17,8688,6028,7335
ON120,01-JUN-17,36285,24001,0
DS367,01-JUL-17,34771,23932,108
YP549,01-APR-17,33193,24665,509
TR376,01-OCT-15,52033,35541,376
RK256,01-AUG-17,55485,52964,0
DS186,01-SEP-17,36548,23365,2158
RK789,01-APR-17,12918,9324,1896
ON848,01-MAR-18,53720,33901,4027
AB752,01-MAR-18,36926,26673,4777
ON236,01-MAR-18,0,0,0
CC865,01-FEB-18,38902,49442,27373
DS292,01-APR-18,29862,27642,1430
TF566,01-NOV-17,0,0,0
TF454,01-MAY-16,42851,35070,3
DS378,01-JUN-16,48501,39039,0
TF445,01-MAR-16,0,0,0
ON469,01-JUN-18,42314,52289,24071
AB295,01-OCT-17,13665,7952,481
RK747,01-JUN-16,7448,5388,831
TR811,01-APR-18,12679,10530,8223
RK301,01-APR-18,0,0,0
TR729,01-FEB-15,0,0,0
DS531,01-JAN-17,69606,68578,0
DS652,01-JUL-17,45978,43496,20357
CC891,01-MAY-16,20644,26398,45681
YP181,01-AUG-15,0,0,0
TF740,01-AUG-16,50565,41525,0
ON176,01-MAR-18,27129,31488,317
ON120,01-JUN-15,3989,2106,0
ON425,01-FEB-18,45887,23022,49
BR264,01-JUL-17,0,0,0
RK747,01-DEC-16,24313,13525,4695
TR617,01-JUL-17,39906,29554,0
AB499,01-MAR-17,35082,23168,0
TR662,01-JAN-16,12180,5982,0
YP174,01-FEB-15,0,0,0
AB856,01-JUN-16,46036,35399,1428
ON804,01-FEB-18,0,0,0
ON231,01-AUG-16,0,0,0
BR264,01-OCT-15,0,0,0
DS641,01-OCT-16,47940,31582,1
RK514,01-MAY-15,21352,17149,21039
DS496,01-JUL-17,0,0,0
TR107,01-JAN-16,30311,16867,24408
AB499,01-MAY-17,30336,23314,18
DS546,01-APR-16,46274,33831,372
ON308,01-APR-17,0,0,0
YP737,01-JUL-15,45983,55269,2842
CC464,01-OCT-16,24282,46549,35770
TF509,01-OCT-16,27381,17991,14
ON120,01-JUL-16,51786,30143,0
YP549,01-JUL-16,47439,30589,0
TR331,01-JUL-17,26869,16487,0
TF143,01-MAR-88,6437,5147,0
AB824,01-SEP-00,13902,8833,311
CC669,01-MAR-99,35367,27345,0
RK403,01-NOV-85,69741,39508,0
RK403,01-NOV-87,42259,42215,59
TF143,01-APR-91,82315,74942,0
TF143,01-AUG-04,34076,38755,43
CC636,01-DEC-03,48067,21526,578
CC636,01-FEB-04,39216,24698,0
RK403,01-SEP-85,32200,23016,0
TF740,01-FEB-01,102490,66077,5539
BR819,01-FEB-88,20946,13614,3
YP676,01-AUG-98,26124,24233,1112
RK403,01-SEP-97,78184,53920,2563
BR819,01-DEC-01,23079,20584,10896
RK403,01-MAR-04,33890,5086,0
TF740,01-JAN-06,36548,40921,713
TF740,01-MAR-13,51245,31408,0
DS652,01-SEP-91,36873,19958,0
TF335,01-OCT-90,116849,71045,0
BR819,01-JUL-00,73353,64192,7441
ON397,01-FEB-83,6187,4350,0
TR387,01-DEC-09,48778,25193,0
RK153,01-DEC-98,29130,26130,94
YP181,01-OCT-14,32451,18870,6473
ON316,01-JUN-92,106428,93580,0
ON316,01-AUG-13,40784,26474,0
RK345,01-NOV-88,63205,69262,392
DS698,01-OCT-97,29420,24028,0
RK345,01-OCT-00,57210,45383,7732
BR710,01-AUG-11,43534,21488,516
BR710,01-APR-14,32664,40698,10009
CC782,01-NOV-86,34177,31831,800
CC504,01-FEB-87,26586,21245,0
TF267,01-OCT-94,14492,10073,0
DS241,01-SEP-89,90727,69070,0
DS241,01-MAR-91,64850,46165,0
TF267,01-OCT-98,13656,7609,2762
TF267,01-MAY-99,20021,11370,4964
ON463,01-JUN-17,41579,25290,1958
DS234,01-OCT-16,46087,28075,39860
DS684,01-DEC-16,0,0,0
YP468,01-DEC-16,24800,27343,3465
TR791,01-OCT-16,37653,26715,9846
TR331,01-NOV-16,22536,16459,0
AB119,01-FEB-16,0,0,0
TF566,01-APR-16,0,0,0
AB388,01-APR-16,0,0,0
ON848,01-NOV-17,50099,43438,4528
TR797,01-APR-17,0,0,0
RK747,01-AUG-15,0,0,0
TR543,01-APR-17,47463,28416,39
YP821,01-JUN-17,0,0,0
BR392,01-FEB-18,69943,50526,5689
TF143,01-FEB-18,41235,32170,15902
ON236,01-APR-18,1344,1411,1513
YP260,01-APR-18,39704,32489,386
TF846,01-MAY-15,51241,25879,1391
ON829,01-SEP-17,0,0,0
DS496,01-JAN-15,0,0,0
TR387,01-FEB-16,17962,7315,1394
DS150,01-JUN-16,15278,10064,1324
TR507,01-FEB-16,7566,5531,13575
AB141,01-SEP-15,5835,3513,12
AB879,01-JUL-17,9522,12298,275
TF696,01-JUL-16,0,0,0
AB344,01-JUL-17,0,0,0
AB661,01-FEB-16,4513,8624,10269
AB344,01-APR-17,0,0,0
AB344,01-FEB-18,0,0,0
DS263,01-JAN-15,0,0,0
TF642,01-MAR-17,11518,5474,965
RK789,01-JUN-17,36906,27176,5014
ON417,01-SEP-17,15239,19704,10898
CC462,01-JUN-17,0,0,0
TR797,01-AUG-16,0,0,0
CC462,01-JUL-15,0,0,0
TR129,01-AUG-16,45972,25801,2100
RK514,01-JUL-16,12369,7233,8551
TR701,01-MAY-16,29908,50854,51448
BR164,01-MAY-16,0,0,0
ON120,01-APR-16,39033,25309,0
CC872,01-SEP-16,26640,12833,0
ON602,01-FEB-18,43084,31070,2034
BR430,01-MAR-18,0,0,0
TR694,01-AUG-15,16282,17907,18015
TF149,01-DEC-15,26768,12367,0
ON316,01-DEC-17,17892,13394,5983
TR665,01-JAN-17,45310,25373,321
AB436,01-FEB-18,56886,40626,4
AB517,01-OCT-17,0,0,0
ON333,01-NOV-16,0,0,0
TR131,01-JUN-18,30499,21600,207
CC462,01-NOV-16,0,0,0
DS684,01-AUG-17,39942,32971,146
YP676,01-MAY-15,17523,45082,106012
DS531,01-MAR-16,71455,62678,0
ON442,01-JAN-16,40125,27042,0
AB388,01-APR-18,25534,26852,25879
RK279,01-NOV-16,0,0,0
AB590,01-NOV-16,10464,9376,0
YP768,01-MAY-18,18820,13199,709
BR159,01-JAN-18,39340,28869,37245
BR254,01-MAR-16,24420,21427,0
TR791,01-JUN-97,41124,39947,113
TF143,01-AUG-92,95101,72362,201
BR151,01-OCT-01,32608,21681,8283
TF143,01-MAR-97,61999,71166,1194
CC669,01-OCT-03,28864,2512,2472
YP570,01-MAR-75,621969,457600,0
YP570,01-JAN-77,231947,174000,0
RK403,01-JAN-09,27470,16311,19247
RK403,01-APR-87,118141,79791,0
RK403,01-MAR-95,53034,55521,0
BR819,01-SEP-94,26671,17254,1204
BR819,01-MAR-89,6906,4671,0
AB824,01-FEB-00,34362,20496,0
DS652,01-SEP-00,50824,17902,21381
BR312,01-JAN-99,31111,20508,3604
TR387,01-APR-09,43408,31165,166
YP181,01-OCT-13,38168,29672,5255
ON316,01-NOV-88,92344,55934,203
ON316,01-NOV-02,33572,22543,135
CC482,01-JAN-07,13769,3286,212
CC504,01-MAY-01,33585,26421,49
TF695,01-NOV-96,34616,19734,0
BR710,01-MAY-04,29948,17307,144
TF695,01-JUL-00,58783,35986,4036
BR710,01-NOV-08,24857,10859,0
BR710,01-JUL-10,31257,18178,111
BR710,01-MAY-13,30452,22445,6302
ON397,01-APR-91,39200,26699,683
AB257,01-APR-97,30963,30389,0
TF359,01-APR-01,32434,30715,18689
CC504,01-NOV-11,58856,55610,22053
TF359,01-OCT-86,119592,108412,0
ON397,01-JUN-90,8744,3723,286
TF359,01-FEB-97,33711,18223,6893
TF695,01-JUN-89,89136,45592,0
DS241,01-DEC-91,45543,36326,0
DS241,01-JAN-92,35363,28631,4
TF267,01-JUN-14,27336,17202,43
DS241,01-AUG-04,28820,9485,0
DS241,01-JUN-08,46970,34935,0
TF267,01-AUG-06,50924,56265,3235
TF359,01-AUG-96,29617,31494,4958
ON397,01-MAR-96,48726,35040,2655
ON397,01-JUL-00,41715,34390,0
TF267,01-JUN-97,32813,32208,859
TF695,01-OCT-92,36782,19927,0
TF695,01-NOV-92,41179,26270,0
CC782,01-SEP-98,32040,13964,1766
CC782,01-AUG-05,29497,17977,496
DS241,01-DEC-07,49841,49798,298
CC398,01-MAY-99,34922,36368,344
CC398,01-NOV-03,16898,15428,3325
CC849,01-OCT-03,31277,11116,1736
ON893,01-MAY-03,21419,19869,0
RK361,01-AUG-14,17492,32154,33217
ON820,01-MAR-03,26083,6720,19128
DS582,01-FEB-97,40024,38867,0
AB590,01-MAY-97,83133,72766,911
CC891,01-SEP-96,45669,37540,22
TF611,01-APR-03,25184,22198,0
RK539,01-JUL-96,64985,40880,0
AB590,01-MAY-01,21009,16079,255
AB590,01-JUL-09,33249,20442,32
DS150,01-DEC-04,39485,26612,27
TF222,01-NOV-04,37973,43958,7153
DS150,01-JAN-11,21610,7593,4960
TR797,01-JUL-12,94712,63884,12759
BR273,01-APR-10,51611,41131,0
BR477,01-JUL-08,29691,12358,2652
DS558,01-JAN-10,34493,17843,0
YP166,01-MAY-05,27514,11900,0
TF770,01-JUL-04,22396,15755,19
TF770,01-MAR-05,17150,10370,53
TF770,01-AUG-08,30434,20639,5020
YP203,01-DEC-08,77440,68021,942
ON333,01-JAN-08,26808,14687,1287
DS263,01-OCT-08,27336,17775,76
AB119,01-MAY-12,55940,47032,9365
ON848,01-NOV-12,99241,55116,0
CC142,01-OCT-06,33509,8192,496
AB838,01-JUN-05,26493,9965,0
ON829,01-OCT-15,21302,15226,7501
TR507,01-OCT-16,33041,29547,36726
ON788,01-MAR-17,0,0,0
CC504,01-MAY-16,0,0,0
ON571,01-AUG-16,33917,24562,0
RK578,01-MAY-16,32093,41018,0
YP718,01-JUN-18,39691,55499,13046
ON571,01-MAY-17,46901,33630,0
AB365,01-MAY-16,57897,33469,5609
YP714,01-JUN-18,26557,25960,253
YP737,01-JAN-15,49495,43895,2204
DS428,01-OCT-16,42115,35865,0
AB879,01-SEP-15,38373,25316,0
TF445,01-MAY-18,12390,24592,14067
TR400,01-DEC-16,0,0,0
RK301,01-MAY-16,8201,5299,842
DS241,01-MAR-16,58691,38238,3453
ON788,01-MAY-18,0,0,0
TR235,01-MAR-15,56550,42447,9739
YP181,01-FEB-16,0,0,0
CC782,01-JAN-16,0,0,0
RK104,01-OCT-16,25233,13889,311
YP181,01-MAR-15,2882,1579,638
DS428,01-NOV-17,36548,32349,3041
TF172,01-JUL-16,21536,15200,9132
YP805,01-APR-16,33824,49484,0
BR497,01-FEB-15,33311,21788,0
RK738,01-FEB-18,22420,16794,7304
YP549,01-OCT-16,39318,26798,233
TR617,01-APR-17,34828,24511,0
TR811,01-JUN-16,41372,27251,27749
TF445,01-FEB-18,0,0,0
TF381,01-MAR-04,21155,10162,30
TF445,01-AUG-05,37065,18628,7525
YP655,01-SEP-03,62271,18328,204
DS884,01-SEP-09,35521,20961,4096
BR554,01-JUN-05,36983,27311,15290
TF642,01-DEC-08,30832,16714,970
RK375,01-SEP-04,17705,4109,13
TR694,01-MAY-14,35723,20369,15658
YP714,01-JUL-94,87247,78522,0
DS234,01-SEP-00,29405,25112,16212
YP714,01-JUL-02,23491,11582,103
RK301,01-MAR-91,82858,87688,0
TR331,01-SEP-92,42904,38449,260
CC479,01-JAN-87,44012,32587,0
TR382,01-NOV-89,134899,91884,0
RK301,01-MAR-96,36259,22829,330
ON765,01-NOV-06,45272,20035,895
TR382,01-JAN-93,106518,75483,108
TR455,01-AUG-96,39070,40979,3494
CC479,01-MAY-03,29575,18153,6196
TR336,01-SEP-98,67508,37618,2470
RK514,01-JUL-12,17902,11812,2392
RK514,01-APR-13,24534,12286,2591
TF407,01-MAY-88,44853,30417,59
TR382,01-APR-10,41577,56118,546
YP412,01-JAN-90,43610,32537,0
ON231,01-JUL-10,50992,52010,18012
BR264,01-AUG-98,20743,17817,0
TR400,01-NOV-12,34170,27942,1963
TR516,01-OCT-08,66461,34497,0
ON804,01-NOV-90,97992,65360,0
TF149,01-JUL-89,28193,17768,0
YP220,01-MAY-00,42047,37951,0
AB560,01-FEB-01,50333,43038,0
TR455,01-MAR-93,68054,60697,36
RK345,01-MAR-96,102769,65047,2235
DS698,01-MAR-93,27958,21581,97
ON369,01-MAY-90,78167,59784,0
DS241,01-AUG-13,88634,61343,0
CC398,01-MAR-00,30601,25153,11005
YP467,01-MAR-02,32853,24193,0
AB460,01-JUL-06,50896,29652,348
CC653,01-NOV-90,26948,13082,0
RK539,01-MAR-91,45597,30525,0
ON120,01-AUG-86,80103,54792,0
ON820,01-SEP-97,31971,34932,153
CC310,01-OCT-87,34557,25024,0
ON120,01-AUG-92,110433,75984,0
RK539,01-JUL-94,44751,42775,0
TF611,01-FEB-95,37038,24510,0
CC891,01-SEP-99,19970,10998,4831
RK539,01-FEB-05,29601,29745,2891
AB590,01-JUN-90,31522,21320,0
RK114,01-SEP-96,37838,44415,0
TF222,01-APR-06,54699,58440,5865
BR159,01-FEB-08,17140,12724,614
TF277,01-MAR-14,27673,25444,819
TR797,01-NOV-12,86516,63195,9181
TF277,01-SEP-06,34105,25196,5099
TF770,01-DEC-03,56777,36811,10
TF770,01-DEC-12,43703,25437,203
TF719,01-AUG-14,2857,1657,94
CC565,01-DEC-05,56584,49765,1530
AB424,01-JUN-09,36432,28080,158
ON236,01-MAY-06,40210,11609,1561
AB540,01-AUG-09,27498,14982,361
DS263,01-DEC-06,37367,21028,225
ON333,01-FEB-12,29347,12611,0
YP549,01-MAR-03,32919,28274,899
CC374,01-DEC-06,35322,22478,0
DS607,01-JAN-14,24899,15156,3986
RK747,01-AUG-06,33538,21900,40
YP693,01-APR-03,31981,26732,0
YP861,01-APR-10,57125,44184,8512
AB759,01-MAY-06,36145,6574,13036
BR264,01-MAR-16,0,0,0
CC142,01-FEB-15,42944,13613,56
TR791,01-MAY-15,39877,28771,3824
ON848,01-OCT-17,51367,36275,2663
AB402,01-APR-18,18131,13725,898
YP468,01-FEB-15,3824,2391,5
ON463,01-OCT-16,42561,23765,1488
BR817,01-JUL-17,44119,27978,53
ON384,01-APR-18,27703,29588,0
