ReportDate,API_WELLNO,FileNo,Company,WellName,Quarter,Section,Township,Range,County,FieldName,Pool,Oil,Wtr,Days,Runs,Gas,GasSold,Flared,Lat,Long
04/2018,33053043310000.0,23615.0,MUREX PETROLEUM CORPORATION,AMBER ELIZABETH  36-25H,SESW,36.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,1023.0,1360.0,30.0,941.0,2540.0,2150.0,0.0,47.8491404949616,-103.553341576165
04/2018,33053038990000.0,22021.0,STATOIL OIL & GAS LP,BILL  14-23 2TFH,SWSW,11.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,1179.0,3167.0,30.0,1171.0,2132.0,1840.0,175.0,47.9074264464401,-103.579904322421
04/2018,33053048330000.0,25091.0,STATOIL OIL & GAS LP,BILL  14-23 3H,NWNE,14.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,2007.0,4061.0,30.0,1990.0,5644.0,5347.0,180.0,47.9045530914511,-103.569154032074
04/2018,33053050010000.0,25645.0,STATOIL OIL & GAS LP,BILL  14-23 4TFH,NWNE,14.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,2439.0,9411.0,30.0,2423.0,6739.0,6406.0,216.0,47.9045531484913,-103.569031623811
04/2018,33053048340000.0,25092.0,STATOIL OIL & GAS LP,BILL  14-23 5TFH,NWNE,14.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,701.0,3645.0,14.0,732.0,1571.0,1469.0,49.0,47.9045530344109,-103.569276440338
04/2018,33053050000000.0,25644.0,STATOIL OIL & GAS LP,BILL  14-23 6H,NWNE,14.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,2197.0,4192.0,30.0,2169.0,6526.0,6200.0,209.0,47.9045532055315,-103.568909215547
04/2018,33053039010000.0,22023.0,STATOIL OIL & GAS LP,BILL 14-23  1H,SWSW,11.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,2288.0,3828.0,30.0,2283.0,5647.0,5238.0,292.0,47.9074840404539,-103.579846783007
04/2018,33053076280000.0,32709.0,STATOIL OIL & GAS LP,HEINZ 18-19 XW  #1H,SESW,7.0,151.0,100.0,MCK,ALEXANDER,BAKKEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.9070795016772,-103.531755793959
04/2018,33053042390000.0,23319.0,STATOIL OIL & GAS LP,PORTER   35-26 #1TFH,SESW,35.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,971.0,2028.0,30.0,975.0,1100.0,983.0,0.0,47.8491888565863,-103.576798995147
04/2018,33053042400000.0,23320.0,STATOIL OIL & GAS LP,PORTER   35-26 #2H,SESW,35.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,1095.0,1793.0,30.0,1080.0,1932.0,1811.0,4.0,47.8491889134726,-103.576921300683
04/2018,33053042380000.0,23302.0,STATOIL OIL & GAS LP,TIMBER CREEK  13-24 1TFH,NENW,13.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,1359.0,2985.0,30.0,1619.0,3047.0,2571.0,359.0,47.9051857973339,-103.551310777781
04/2018,33053042370000.0,23301.0,STATOIL OIL & GAS LP,TIMBER CREEK  13-24 2H,NENW,13.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,1965.0,2964.0,30.0,2291.0,4554.0,3959.0,595.0,47.9051851087079,-103.5511883745
04/2018,33053014360000.0,9132.0,"TAQA USA, INC.",SKEDSVOLD     23-6,SENW,23.0,151.0,101.0,MCK,ALEXANDER,DUPEROW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.886693,-103.57491
04/2018,33053015410000.0,9617.0,"TAQA USA, INC.",BOLKEN     24-12,NWSW,24.0,151.0,101.0,MCK,ALEXANDER,MADISON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.882622,-103.558708
04/2018,33053012110000.0,8165.0,"TAQA USA, INC.",SKEDSVOLD  1,SENE,23.0,151.0,101.0,MCK,ALEXANDER,MADISON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.8862073601492,-103.564744817384
04/2018,33053026140000.0,15670.0,"TAQA USA, INC.",HANSEN  2-23,W2SE,23.0,151.0,101.0,MCK,ALEXANDER,RED RIVER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.880860542873,-103.568864653431
04/2018,33053012110000.0,8165.0,"TAQA USA, INC.",SKEDSVOLD  1,SENE,23.0,151.0,101.0,MCK,ALEXANDER,RED RIVER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.8862073601492,-103.564744817384
04/2018,33023008590000.0,23323.0,HUNT OIL COMPANY,ALEXANDRIA   1-33-28HTF,LOT3,1.0,160.0,101.0,DIV,ALEXANDRIA,BAKKEN,715.0,1076.0,30.0,777.0,789.0,193.0,14.0,48.7188933269934,-103.677966532666
04/2018,33023012220000.0,28507.0,HUNT OIL COMPANY,ALEXANDRIA   161-100-21-16H-1,SWSE,21.0,161.0,100.0,DIV,ALEXANDRIA,BAKKEN,1846.0,2732.0,30.0,2039.0,2015.0,1115.0,641.0,48.7501126172812,-103.668312885958
04/2018,33023012200000.0,28501.0,HUNT OIL COMPANY,ALEXANDRIA   161-100-22-15H-1,SESW,22.0,161.0,100.0,DIV,ALEXANDRIA,BAKKEN,2504.0,2631.0,30.0,2688.0,1991.0,1255.0,47.0,48.750590754001,-103.65380316394
04/2018,33023010970000.0,26256.0,HUNT OIL COMPANY,ALEXANDRIA   161-100-24-13H-1,SESW,24.0,161.0,100.0,DIV,ALEXANDRIA,BAKKEN,1884.0,3973.0,30.0,1526.0,2556.0,1887.0,208.0,48.7501792904821,-103.609886335862
04/2018,33023011690000.0,27725.0,HUNT OIL COMPANY,ALEXANDRIA   161-100-32-29H-1,SWSE,32.0,161.0,100.0,DIV,ALEXANDRIA,BAKKEN,1028.0,1459.0,30.0,759.0,1205.0,526.0,218.0,48.7210664252787,-103.691812040655
04/2018,33023010160000.0,25096.0,HUNT OIL COMPANY,ALEXANDRIA  1-26-35H,NENW,26.0,161.0,100.0,DIV,ALEXANDRIA,BAKKEN,1227.0,2437.0,30.0,969.0,2384.0,1548.0,375.0,48.7489650583043,-103.631885407043
